Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/recurso-detalhe/192,2,0,8,8.736297000041304,7.521259999975882,9.951334000106726,27.0,0.007788825699434576,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/recurso-detalhe/193,1,0,1.9409740002629405,1.9409740002629405,1.9409740002629405,1.9409740002629405,27.0,0.003894412849717288,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/195,2,0,3.2041029999163584,3.6954070000092543,3.2041029999163584,4.18671100010215,27.0,0.007788825699434576,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/api/recurso-detalhe/196,4,0,2,2.015786999947977,1.7978869998387381,2.468969000119614,27.0,0.015577651398869153,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/197,1,0,7.24812499993277,7.24812499993277,7.24812499993277,7.24812499993277,27.0,0.003894412849717288,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/198,2,0,2,2.0136834999675557,1.9128829999317531,2.1144840000033582,27.0,0.007788825699434576,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/199,3,0,3,3.975431333325711,1.7366930001116998,7.312058999787041,27.0,0.011683238549151865,0.0,3,3,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/2,2,0,3,3.309045499918284,2.750876999925822,3.8672139999107458,23.0,0.007788825699434576,0.0,4,4,4,4,4,4,4,4,4,4,4
GET,/api/recurso-detalhe/20,3,0,2,3.581547333396884,1.5863880000779318,7.416508000005706,25.0,0.011683238549151865,0.0,2,2,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/200,2,0,2,2.0661134999500064,1.9331949999923381,2.1990319999076746,27.0,0.007788825699434576,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/201,3,0,11,9.58670533342835,7.012944000052812,11.159780000070896,27.0,0.011683238549151865,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/recurso-detalhe/202,2,0,1.9878530001733452,1.932656000121824,1.8774590000703029,1.9878530001733452,27.0,0.007788825699434576,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/203,3,0,3,6.386984999987059,1.9198569998479798,14.293389999920691,27.0,0.011683238549151865,0.0,3,3,14,14,14,14,14,14,14,14,14
GET,/api/recurso-detalhe/204,2,0,2,5.98257600006491,1.8511250000301516,10.114027000099668,27.0,0.007788825699434576,0.0,10,10,10,10,10,10,10,10,10,10,10
GET,/api/recurso-detalhe/205,1,0,10.678242000039972,10.678242000039972,10.678242000039972,10.678242000039972,27.0,0.003894412849717288,0.0,11,11,11,11,11,11,11,11,11,11,11
GET,/api/recurso-detalhe/206,7,0,6,5.501952428598348,1.8728469999587105,7.785988000023281,27.0,0.027260889948021016,0.0,6,6,7,7,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/207,2,0,7.921054999997068,7.908268500045779,7.895482000094489,7.921054999997068,27.0,0.007788825699434576,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/208,5,0,3,5.2284251999935805,1.9380219998765824,12.476067000079638,27.0,0.01947206424858644,0.0,3,7,7,12,12,12,12,12,12,12,12
GET,/api/recurso-detalhe/209,3,0,2,3.581041999950685,1.85552099992492,6.610418000036589,27.0,0.011683238549151865,0.0,2,2,7,7,7,7,7,7,7,7,7
GET,/api/recurso-detalhe/21,5,0,7,6.139770800018596,1.4525470000990026,12.716123000018342,25.0,0.01947206424858644,0.0,7,8,8,13,13,13,13,13,13,13,13
GET,/api/recurso-detalhe/210,2,0,2,2.344412000070406,1.8693010001697985,2.8195229999710136,27.0,0.007788825699434576,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/api/recurso-detalhe/211,2,0,9,11.171912999884626,8.89264399984313,13.45118199992612,27.0,0.007788825699434576,0.0,13,13,13,13,13,13,13,13,13,13,13
GET,/api/recurso-detalhe/212,3,0,4,7.329228333370945,1.6837070002111432,16.571698999996443,27.0,0.011683238549151865,0.0,4,4,17,17,17,17,17,17,17,17,17
GET,/api/recurso-detalhe/213,2,0,2.415924999922936,5.224766999958774,2.415924999922936,8.033608999994613,27.0,0.007788825699434576,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/214,2,0,2,1.938283499953286,1.8000069999288826,2.0765599999776896,27.0,0.007788825699434576,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/215,4,0,1.9709870000497176,1.8633199999840144,1.7149909999716328,1.9709870000497176,27.0,0.015577651398869153,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/216,6,0,2,12.26987449998281,1.5839320001305168,38.013034999949014,27.0,0.02336647709830373,0.0,3,3,28,28,38,38,38,38,38,38,38
GET,/api/recurso-detalhe/217,5,0,4,4.794844999969428,1.936011999987386,8.070995000025505,27.0,0.01947206424858644,0.0,4,7,7,8,8,8,8,8,8,8,8
GET,/api/recurso-detalhe/218,1,0,2.967436000062662,2.967436000062662,2.967436000062662,2.967436000062662,27.0,0.003894412849717288,0.0,3,3,3,3,3,3,3,3,3,3,3
GET,/api/recurso-detalhe/219,4,0,2,13.692236750102893,1.5739220000341447,36.00878800011742,27.0,0.015577651398869153,0.0,15,15,36,36,36,36,36,36,36,36,36
GET,/api/recurso-detalhe/22,1,0,1.9324510001297313,1.9324510001297313,1.9324510001297313,1.9324510001297313,25.0,0.003894412849717288,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/220,3,0,2,2.001857333425505,1.6779730001417192,2.369919000102527,27.0,0.011683238549151865,0.0,2,2,2,2,2,2,2,2,2,2,2
GET,/api/recurso-detalhe/221,2,0,2,3.289848000008533,1.9437129999460012,4.6359830000710645,27.0,0.007788825699434576,0.0,5,5,5,5,5,5,5,5,5,5,5
